id,category
468,Crimes Against Property
469,Controlled Drugs and Substances Act
470,Other Federal Statute Violations
471,Crimes Against the Person
472,Crimes Against Property
473,Crimes Against Property
474,Crimes Against Property
475,Crimes Against Property
476,Controlled Drugs and Substances Act
477,Other Federal Statute Violations
478,Crimes Against the Person
479,Crimes Against the Person
480,Crimes Against the Person
481,Crimes Against the Person
482,Crimes Against the Person
483,Crimes Against the Person
484,Crimes Against the Person
485,Crimes Against the Person
486,Crimes Against the Person
487,Crimes Against the Person
488,Crimes Against the Person
489,Crimes Against the Person
490,Crimes Against the Person
491,Crimes Against the Person
492,Crimes Against the Person
493,Crimes Against the Person
494,Crimes Against the Person
495,Crimes Against the Person
496,Crimes Against the Person
497,Crimes Against the Person
498,Crimes Against the Person
499,Criminal Code Traffic
500,Criminal Code Traffic
501,Criminal Code Traffic
502,Criminal Code Traffic
503,Criminal Code Traffic
504,Criminal Code Traffic
505,Criminal Code Traffic
506,Criminal Code Traffic
507,Criminal Code Traffic
508,Criminal Code Traffic
509,Criminal Code Traffic
510,Criminal Code Traffic
511,Criminal Code Traffic
512,Other Criminal Code Violations
513,Other Criminal Code Violations
514,Other Criminal Code Violations
515,Other Criminal Code Violations
516,Other Criminal Code Violations
517,Other Criminal Code Violations
518,Crimes Against the Person
519,Other Federal Statute Violations
520,Controlled Drugs and Substances Act
521,Crimes Against Property
522,Crimes Against Property
523,Crimes Against Property
524,Crimes Against the Person
525,Other Federal Statute Violations
526,Other Federal Statute Violations
527,Other Federal Statute Violations
528,Other Federal Statute Violations
529,Other Federal Statute Violations
530,Other Federal Statute Violations
531,Controlled Drugs and Substances Act
532,Controlled Drugs and Substances Act
533,Controlled Drugs and Substances Act
534,Controlled Drugs and Substances Act
535,Controlled Drugs and Substances Act
536,Controlled Drugs and Substances Act
537,Controlled Drugs and Substances Act
538,Controlled Drugs and Substances Act
539,Controlled Drugs and Substances Act
540,Controlled Drugs and Substances Act
541,Controlled Drugs and Substances Act
542,Controlled Drugs and Substances Act
543,Controlled Drugs and Substances Act
544,Controlled Drugs and Substances Act
545,Controlled Drugs and Substances Act
546,Crimes Against Property
547,Crimes Against Property
548,Crimes Against Property
549,Crimes Against Property
550,Crimes Against Property
551,Crimes Against Property
552,Crimes Against Property
553,Crimes Against Property
554,Crimes Against Property
555,Crimes Against Property
556,Crimes Against Property
557,Crimes Against Property
558,Crimes Against Property
559,Crimes Against Property
560,Controlled Drugs and Substances Act
561,Criminal Code Traffic
562,Crimes Against Property
563,Crimes Against Property
564,Crimes Against Property
565,Controlled Drugs and Substances Act
566,Criminal Code Traffic
567,Crimes Against Property
568,Crimes Against Property
569,Crimes Against Property
570,Crimes Against Property
571,Crimes Against Property
572,Crimes Against Property
573,Crimes Against Property
